2025-06-05 15:34:11.631 [info] Lingma [version: 2.5.6, lang: en, platform: linux, arch: x64, appName=Visual Studio Code, runMode: local, extensionKind=1, remoteName=undefined, wsl=undefined, remoteContainers=undefined, extensionMode=1] is starting now!
2025-06-05 15:34:11.634 [info] Congratulations, "Lingma" is now active!
2025-06-05 15:34:11.649 [info] check exist binary path, no need update.
2025-06-05 15:34:11.696 [info] lingma try to connect to language server.
2025-06-05 15:34:11.696 [info] try to create ws connection
2025-06-05 15:34:11.713 [info] lingma connected to language server successfully.
2025-06-05 15:34:16.140 [info] auth status synced. id=caroulder, status=5, whitelist=4, token=
2025-06-05 15:34:16.141 [info] auth status synced. id=caroulder, status=5, whitelist=4, token=
2025-06-05 15:44:11.384 [info] try to create ws connection
2025-06-05 15:54:11.384 [info] try to create ws connection
2025-06-05 16:04:11.386 [info] try to create ws connection
2025-06-05 16:14:11.390 [info] try to create ws connection
2025-06-05 16:24:11.387 [info] try to create ws connection
2025-06-05 16:34:11.388 [info] try to create ws connection
2025-06-05 16:44:11.392 [info] try to create ws connection
2025-06-05 16:57:08.999 [info] try to create ws connection
2025-06-05 17:07:09.018 [info] try to create ws connection
2025-06-05 17:17:09.010 [info] try to create ws connection
2025-06-05 17:27:09.012 [info] try to create ws connection
2025-06-05 17:37:09.007 [info] try to create ws connection
2025-06-05 17:47:09.000 [info] try to create ws connection
2025-06-05 17:57:09.015 [info] try to create ws connection
2025-06-05 18:07:09.015 [info] try to create ws connection
2025-06-05 18:17:09.016 [info] try to create ws connection
2025-06-05 18:27:09.014 [info] try to create ws connection
2025-06-05 18:37:09.009 [info] try to create ws connection
2025-06-05 18:47:09.007 [info] try to create ws connection
2025-06-05 18:57:09.015 [info] try to create ws connection
2025-06-05 19:07:09.012 [info] try to create ws connection
2025-06-05 19:17:09.020 [info] try to create ws connection
2025-06-05 19:27:09.024 [info] try to create ws connection
2025-06-05 19:37:09.024 [info] try to create ws connection
2025-06-05 19:47:09.026 [info] try to create ws connection
2025-06-05 19:57:09.022 [info] try to create ws connection
2025-06-05 20:07:09.017 [info] try to create ws connection
2025-06-05 20:17:09.018 [info] try to create ws connection
2025-06-05 20:29:24.781 [info] try to create ws connection
2025-06-05 21:13:08.952 [info] try to create ws connection
2025-06-05 21:23:08.969 [info] try to create ws connection
2025-06-05 21:33:08.963 [info] try to create ws connection
2025-06-05 21:43:08.961 [info] try to create ws connection
2025-06-05 21:53:08.994 [info] try to create ws connection
2025-06-05 22:03:08.959 [info] try to create ws connection
2025-06-05 22:13:08.960 [info] try to create ws connection
2025-06-05 22:13:12.582 [info] auth status synced. id=caroulder, status=5, whitelist=4, token=
2025-06-06 08:39:06.459 [info] try to create ws connection
2025-06-06 08:44:41.977 [info] auth status synced. id=caroulder, status=2, whitelist=3, token=
2025-06-06 08:49:06.174 [info] try to create ws connection
2025-06-06 08:59:06.174 [info] try to create ws connection
2025-06-06 09:09:06.178 [info] try to create ws connection
2025-06-06 09:19:06.176 [info] try to create ws connection
2025-06-06 09:29:06.178 [info] try to create ws connection
2025-06-06 09:39:06.179 [info] try to create ws connection
2025-06-06 09:49:06.181 [info] try to create ws connection
2025-06-06 09:59:06.179 [info] try to create ws connection
2025-06-06 10:09:06.176 [info] try to create ws connection
2025-06-06 10:19:06.179 [info] try to create ws connection
2025-06-06 10:29:06.181 [info] try to create ws connection
2025-06-06 10:39:06.200 [info] try to create ws connection
2025-06-06 10:49:06.184 [info] try to create ws connection
2025-06-06 10:59:06.190 [info] try to create ws connection
2025-06-06 11:09:06.191 [info] try to create ws connection
2025-06-06 11:19:06.198 [info] try to create ws connection
2025-06-06 11:29:06.198 [info] try to create ws connection
2025-06-06 11:39:06.202 [info] try to create ws connection
2025-06-06 11:49:06.211 [info] try to create ws connection
2025-06-06 11:59:06.226 [info] try to create ws connection
2025-06-06 12:09:06.227 [info] try to create ws connection
2025-06-06 12:19:06.236 [info] try to create ws connection
2025-06-06 12:29:06.230 [info] try to create ws connection
2025-06-06 12:39:06.237 [info] try to create ws connection
2025-06-06 12:49:06.260 [info] try to create ws connection
2025-06-06 12:59:06.243 [info] try to create ws connection
2025-06-06 13:09:06.244 [info] try to create ws connection
2025-06-06 13:14:40.792 [info] auth status synced. id=caroulder, status=2, whitelist=3, token=
2025-06-06 13:19:06.256 [info] try to create ws connection
2025-06-06 13:29:06.250 [info] try to create ws connection
2025-06-06 13:39:06.250 [info] try to create ws connection
2025-06-06 13:49:06.263 [info] try to create ws connection
2025-06-06 13:59:06.267 [info] try to create ws connection
2025-06-06 14:09:06.276 [info] try to create ws connection
2025-06-06 14:22:25.344 [info] try to create ws connection
2025-06-06 14:32:25.334 [info] try to create ws connection
2025-06-06 14:32:26.539 [info] auth status synced. id=caroulder, status=2, whitelist=3, token=
2025-06-06 14:42:25.333 [info] try to create ws connection
2025-06-06 14:52:25.344 [info] try to create ws connection
2025-06-06 15:02:25.341 [info] try to create ws connection
2025-06-06 15:12:25.345 [info] try to create ws connection
2025-06-06 15:22:25.353 [info] try to create ws connection
2025-06-06 15:32:25.343 [info] try to create ws connection
2025-06-06 15:42:25.355 [info] try to create ws connection
2025-06-06 15:52:25.346 [info] try to create ws connection
2025-06-06 16:02:25.349 [info] try to create ws connection
2025-06-06 16:12:25.366 [info] try to create ws connection
2025-06-06 16:22:25.358 [info] try to create ws connection
2025-06-06 16:32:25.363 [info] try to create ws connection
2025-06-06 16:42:25.361 [info] try to create ws connection
2025-06-06 16:52:25.370 [info] try to create ws connection
2025-06-06 17:02:25.362 [info] try to create ws connection
2025-06-06 17:12:25.382 [info] try to create ws connection
2025-06-06 17:22:25.379 [info] try to create ws connection
2025-06-06 17:32:25.370 [info] try to create ws connection
2025-06-06 17:42:25.366 [info] try to create ws connection
2025-06-06 17:52:25.376 [info] try to create ws connection
2025-06-06 18:02:25.376 [info] try to create ws connection
2025-06-06 18:12:25.371 [info] try to create ws connection
2025-06-06 18:22:25.392 [info] try to create ws connection
2025-06-06 18:32:25.382 [info] try to create ws connection
2025-06-06 18:42:25.371 [info] try to create ws connection
2025-06-06 18:52:25.374 [info] try to create ws connection
2025-06-06 19:02:25.384 [info] try to create ws connection
2025-06-06 19:12:25.377 [info] try to create ws connection
2025-06-06 19:22:25.378 [info] try to create ws connection
2025-06-06 19:32:25.373 [info] try to create ws connection
2025-06-06 19:42:25.380 [info] try to create ws connection
2025-06-06 19:48:02.214 [info] auth status synced. id=caroulder, status=2, whitelist=3, token=
2025-06-06 19:52:25.379 [info] try to create ws connection
2025-06-06 20:02:25.380 [info] try to create ws connection
2025-06-06 20:12:25.379 [info] try to create ws connection
2025-06-06 20:22:25.380 [info] try to create ws connection
2025-06-06 20:32:25.380 [info] try to create ws connection
2025-06-06 20:32:25.882 [info] auth status synced. id=caroulder, status=2, whitelist=3, token=
2025-06-06 20:42:25.382 [info] try to create ws connection
2025-06-06 20:52:25.383 [info] try to create ws connection
2025-06-06 21:02:25.385 [info] try to create ws connection
2025-06-06 21:12:25.387 [info] try to create ws connection
2025-06-06 21:22:25.386 [info] try to create ws connection
2025-06-06 21:32:25.389 [info] try to create ws connection
2025-06-06 21:42:25.391 [info] try to create ws connection
2025-06-06 21:52:25.393 [info] try to create ws connection
2025-06-06 22:02:25.393 [info] try to create ws connection
2025-06-06 22:12:25.395 [info] try to create ws connection
2025-06-06 22:22:25.395 [info] try to create ws connection
2025-06-06 22:32:25.397 [info] try to create ws connection
2025-06-06 22:42:25.397 [info] try to create ws connection
2025-06-06 22:52:25.396 [info] try to create ws connection
2025-06-06 23:54:20.364 [info] try to create ws connection
